k_a_5,ICT설비투자지수(원지수),ISM비제조업지수[미국],ISM제조업지수[미국],OECD경기선행지수[미국],OECD경기선행지수[한국],개인소득/M2[미국],개인소비지출(PCE),건설기성액(실질)(십억원)(동행),건설수주액(실질)(십억원)(선행),경기동행지수[미국],경기선행지수[미국],광공업생산지수,구인구직비율(%)(선행),기계류내수출하지수(선박제외)(2015=100)(선행),도시가계소비지출(실질)(천원)(후행),동행종합지수(2015=100),동행지수 순환변동치,무역수지,미국 정책금리(Federal Fund Rate_Policy),비농림어업취업자수(천명)(동행),비농업부문고용자수[미국],생산자물가[중국],생산자제품재고지수(2015=100)(후행),생산자제품재고지수(원지수),서비스업생산지수,선행종합지수(2015=100),선행지수 순환변동치,설비투자 총지수(계절조정),설비투자총지수(불변),소매판매(SA),소매판매(소비재상품)[중국],소매판매[Euro-Zone],소매판매액지수(2015=100)(동행),소비자물가(전체)[중국],소비자물가[Euro-Zone],소비자신뢰지수(컨퍼런스보드)[미국],소비재수입액(실질)(백만불)(후행),수입국(중국),수입액,수출국(중국),수출액,시카고PMI지수[미국],식료품및에너지제외소비자물가지수(식료품및에너지제외),실업률(NSA)[미국],외환보유액,재고율[미국],제조업내수출하지수(원지수),제조업생산-제조업,제조업생산출하-제조업,코스피지수(1980.1.4=100)(선행),필라델피아연준지수[미국],후행종합지수(2015=100)
599.2,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
598.78,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
603.83,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
603.63,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
604.92,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
596.67,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
608.74,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
594.53,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
583.41,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
583.52,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
585.32,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
577.57,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
578.1,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
559.44,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
565.38,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
568.15,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
568.64,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
579.28,82.9,51.3,42.1,98.5,97.2,1.79600056,6995.82,6138.1,4433.7,98.7,89.6,50.6,55.5,68.6,2026.4,57.7,99.3,621.8,5.5,19124,132617,90.09,66.1,29.7,64.5,59.6,96.7,85.8,83.6,58.2,3047.1,94.28,68.5,100,90.61,109.25,1665.7,100402840,12732258,64111216,13354074,41.56,78.112,4.6,88222.14,1.42,66.949,49.703,53.406,568.3,-29.2,54.8
565.76,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
545.05,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
527.97,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
543.28,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
541.83,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
538.67,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
534.33,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
531.59,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
532.59,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
527.05,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
537.97,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
545.98,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
532.9,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
528.79,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
523.8,91.2,50.7,43.1,98.4,97,1.781938709,6987.86,6276.5,4426.2,98.5,88.3,55.3,53.2,69.6,2043,58,99.2,1173,5,19124.5,132588,89.59,67.1,29.6,69.7,59.9,96.8,88,97.4,57.98,2876.1,94.52,69.3,100.8,91.12,116.87,1660.8,113597090,12951886,84803208,14124891,35.16,78.646,4.5,87832.34429,1.44,75.508,54.622,59.149,574.1,-20.3,55.2
